Username,Comment
fune_safusi_official,Alasan @PLN gak di terima masyarakat karna apa ? karna kalian merasa rugi terus gak pernah untung katanya...
toni_aja02,"hanya kata maaf, rakyatnya isi token listrik PLN pake uang sendiri tapi katanya PLN mengalami kerugian besar kadang2 heran juga liat Mentri dan dirutnya."
zorachlsa,tidak ada kata maaf
rendirobinbandsit,"hanya minta maaf aja?????
coba kalo masyarakat telat bayar gak bisa tuh hanya minta maaf, langsung denda"
alvito872,woi gw gak bosa mandi tadi sore woi😭
vinajuliajulia8,"pokoknya klau udh minta maaf jngn diulngi lagi y
gara gara pln padan aku gk bisa nonton filim India vasuda di ANTV hadehhh"
xafithrie,lmpu nya mati hidup tp bayarnya mlh mlonjak
windukntra,bayar nya diskon 90%
bangyat77,preeet
cakrahadipati,sudah pernah terjadi di era PK Jokowi KNPA harus terjadi lagi😅
alfatx3,olah pak dari awal klarifikasinya pak
mhd_ridho0505,"mati lampu sampe subuh, jam 3 subuh mobil d Rokan hulu pun hilang"
iyaapatuh,Pak baru hidup listriknya 😭
dekputri394,mau tidur gk nonton dlu kyak ada yg aneh
yennitriiz71,"jgn maaf aj pk, kompensasinya mana utk warga, secara klo telat byr main putus aj"
ramli_love,suka² kalian lah itu para pejabat..klau terlambat denda kecuali kalian sendiri...
jagowan_neyonn,guaa ga mandi cok
agusmanmalau,"Wak.. di tempatku 27 jam nonstop
mati hari Jumat jam 6 sore baru hidup Sabtu jam9 malam lewat 😱😱"
semidang_gum41,Tai minta maaf gampang giliran PLN secuil gak mau rugi giliran masyarakat mengalami rugi gara gara listrik mati gampang amat af af maaf ee lah kalian
andikanduru81,"gak mau maafin aku dah kepanasan,dan kenapa GK ada jaringan pas mati lampu takut di gosting kah?!!!"
mamafarid_1915,Sudah terjadi .. Pak🙄
putriaryathi,@gerindra @Sekretariat Kabinet RI pecat gak tuh dirut PLN
morr_libra87,"dirawat pak, sumsel jg terdampak pemahaman massal"
mitraalamco,minta maaf kok teks book😂
aries._18,"bapak ni gimana sih pak, mendidih pak kepala ku gabisa tidur PANAS!!! mana gabisa sllepcall aku😏"
susiyantiagustian,Uda mati Listrik tambah mati air tambh jaringan eror lengkap lah sudah sabararudin 🧐
reinhardaritonan,"bulan depan saya minta maaf gak bayar jangan di denda y pak !!!
boleh gak jirrr"
tatawaskedu,"emang berapa hari..?? Desember 2024,,Sulawesi Utara 3 hari padam.."
cchiilkuuu,"telat bayar listrik di cabuttt
listrik gangguan trus kita di suruh maklum dan bersabarr"
juragan3323,Lebih Santun MUNDUR dari Dirut PLN 👍👍👍
ali...0822,tetap semangat om..
r.stpl,GK urusss.....lw lampu mati LG...minta maaf juga lh bayaran ny....
keziaskincare04,"baru dapat at hidayah mau mandi ga jadi scwra dah 3hr,bgtu mau mndi mati lampu 😏"
wahyu_saputra.27,😆😆😆
syamsuddin_aksiez,bisa nya cuman minta maaf doang.....
evisusanti8052,"tempat ku 24 jam mati
dari magrib ke magrib besoknya 😭"
rama101007,"di sini mati jam 6, 22 mei dan hidup 23 mei, jam 22:00, ga terima serius"
muhammadramsy,"sdh basi gak hanya kali ini aja sdh bertahun""sering gangguan,coba kementerian SDM tanya sma masyarakat langsung hampir tiap hari mati lampu"
jjone225,"sumpah udah gondok kali aku. 14 jam tempatku mati lampu, udah sumpah serapah semua keluar dari mulutku ini"
firmandiraw,usahaa itu makanya jadi PLN
jooo_102,"maaf bae, giliran pelanggan telat bayar didenda, skg pln bermasalah apa konpensasinya utk masyarakat yg terdampak"
jagansokkepo,
dv01403,"minta maaf , beres"
santyhalisa,pak tolonglah makin diperhatikan itu jngan rakyat trs yg jdi korban😏
rizkyoppo40,kalau tak bayar kamipun minta maaf ya pak.
heredyyy,ga ada maap maap
king135.135cc,aku sampai mandi sungai byangkn la itu
galang_ical488,we kampang ikan gua kesayanga gua mati oyy gara² mati lampu
jjone225,Lama-lama keluar semua teori konspirasi nih👀👀
fuadd_eby,yaudah ganti rugi untuk rakyat!!!
seancuary24,"menutupi kasus apa ini, sampai Sumatra jd korban"
emdahsuwaarnizkn54,"gk pecus direktur pln turun ,ganti saja ,cuaca lg yg disalahkan"
putra.boss88,bujang emang mati lampu sampek 10 jam
memekk326,"tak nak,gara"" mati lampu aku ngk bisa jadwal"
masihmantauajamakekakunf,kalo ngitu lasih kami keringanan jugak bisa gak jgn tau lambat bayar kena denda nunggak kena putus😏
paridadayat1,maap PK sum sel mati juga daerah oki mati juga
natsss90,cuma minta maaf aja ni pak? tempatku lebih dr 26 jam matinya 🫣
fadilaja469,ga butuh maaf
king_pavilion,😂😂
bassssktt,[Stiker] 
martin.napit,maaf pak bisa kami ga isi token lampu kami Hidup
bassssktt,Halah pengalihan ini biar kita ga tau berita
dominggo_,Cuman maaf aja iya
helow_ren23,"guys jangan percaya , curiga gak sih kalian kenapa mati lampu di pulau sumatera pasti ada sesuatu yg disembunyikan, akses jaringan matii, gak curiga kalian"
hey_mbon,"bilang aja ada barang mah keluar masuk karna jalur nya lebih cepet Sumatra, karna bernilai T jadi harus padam semua kan😂"
muhammadramsy,"gangguan bertahun tahun hampir tiap hari ada mati lampu parah Riau,coba liat daerah bandung jakarta juga Jawa mati lampu bisa di bilng setahun sekali itu pun klu ada musibah sperti kebangkaran atau musibah lainnya"
lukuluku184,aku muak dengar nya
muhammadramsy,"saya dri Riau PLN Riau parah banget deh,tiap minggunya selalu ada mati lampu,yg anehnya ko tiap minggunya ko gangguan terus,bayar listrik telat bentar aja di cabut"
ditzx.mlbb1,te diho
aris_sikumbang,buat yg dekat sama rumah2 bapak2 diatass.. coba liat beberapa bulan kedepan.. pasti ada yang baruu..
kilegek,"maaf ndasmu
ga profesional bangeg kinerja kalian tu"
novia_s1,di aku jg mati Mulu gangguan Mulu listrik
tama86701,"intinya aja, berapa ton masuk?"
suafri1,rakyat banyak dirugikan
zulhamzulham9928,"jangan hanya mintak maaf pak,,, harus ada kompensasinya,,, karna kami bayar arus PLN nggak pakai kata maaf pak,, faham..."
lelylisma,pak R1 tolong di tindak ini..pelaku nya
novia_s1,emg brp lama
juno27_27,perusahaan yg selalu bilang rugi
lelylisma,"gratis kan token , baru di maafin bisa tdk"
bg.chan48,"ngomong aja enak yg rasa raknyat,,kapan maju negara ini"
muhammadfais9109,"[Stiker] pra medan udah nyala blom,besi2 nya udah aman semua kan pra"
fahrufahru76,woi kapan pulih nyaa
londowondo31,pecat dirut pln sumut
jeri.indosaputra2,semoga kalian semua diberkahi kehidupan kalian berserta keluarga kalian PLN
harahap.nasution67,😂
mhd.ari.fandra.lu,bayar listrik ga pernah telat
mhd.ari.fandra.lu,"pikir"" la kalau mati kn lampu"
rsumut5,ada brp ton wak yg masok😎
putih778,tiada maaf bagimu 😒
donny.folyandra,"jangan gampang minta maaf kalian,perbaiki kinerja kalian.maitenane harus rutin kalian kerjaan,jangan pandainya kalian menaikan tarif listrik.tidak kalian fikirkan dampak bagi masyarakat Sumatra dan kerugian bagi masyarakat pulau Sumatra."
khm8585,"Pak, kami Tidak minta maaf tiap bulan Nya.. Lewat Tanggal 18 Langsung di kirim surat sama orang Pak. Telat bayar langsung di putusin sementara 🙏"
celibe_1234,Mintak maaf belum bisa bayar listrik boleh pak?
elmatna,"Sebelum masalah ini ada pak, sumatra barat dalam sehari pasti ada mati listriknya. SAMPAI KAPAN pak sumatra barat kayak gitu…🙏🙏"
pcrbrndya,maaf juga ya pak saya bulan depan akan telat bayar
ryanhakim125,Cemana ini Sumatra sampe sekarang blom normal lo ini listriknya . Apa memang kami di abaikan aja ini sama negara ? Pe
juoiter3,maaf mu tidak bisa menggantikan semua kerugian kami
frl_aye11,[Stiker] 
audosiharodes1,MUNDUR!!!
iklimejik,"singkat saja, kelistrikan apa barang masuk?"
abbas.elektronik,ganti rugilah
al_ridho.ridho,"batreku nih dua persen
woiiiiiiijjjjj sini 2juta baru aku maafin"
iamtheuniqueorn,26jam mati kek mn la itu pak😭
_bangkek86_,Berapa ton yang lewat semalam pak di pulau Sumatera?
dha.panjul,ndk ad gnti rugi utk pataranak ayam doh pak🤣
geoloni,Minta maaf aja 😳 ? Kasih kompensasi lah ke Masyarakat..
khy3562,baru hidup
za54930,permainan semua😂
timurindonesia1817,masyarakt juga ingin menyampaikan pak.. kalo telat byar listrik jangan kena denda ya..🤣🤣🤣
afschannel,ada aktivitas ilegal seperti nya
ydhnf.01,"kata"" maaf tidak bisa menyembuhkan apa yang sudah skit pak, mikir dongg"
fatnerfantasi88,ada lagi 144 terliun juga 49 ribu atau 94 ribu rupiah ya?😂😅👏
sukaa.matchaaaa1,gak mandii 1 hariann akuu jdinyaa bngkee😭
mawarmawarmawar12,"MINTA MAAF GAAKAN BISA GANTIKAN KERINGATKU YG KELUAR DUA MALAM PAKKKK EKKKK, gapernah sekangen ini sama angin pakkk"
irhamsaid._7,tidak bisa minta maaf tanggung jawab atas kerugian yang telah terjadi.
fatnerfantasi88,"MENTRI oh MENTRI orang pajak KORUPSI 1,300 TERLIUN"
user2136676145798,"ada apa di balik ini ya netizen,sementara Sumbar Riau ada pembangkit nya di PLTA koto panjang,tapi kenapa bisa jadi serentak mati nya"
doniebvv6,efek korupsi
yogi_sanjaya_sitanggang,jujur deh ini pasti udah koropsi
nizar_alfie22,@Fadly Family❣️
donihamdanisyahputra,pln jaringan jugak hilang hadehhh🫣
ninu.341,"[Stiker] gara2 mati lampu bnyak kerugian, buat apa minta maaf, harusnya gnti rugi.. telat bayar listrik diputus"
rahmadjayadi10,udh brp ton yg lewat😭
kanzzz1164,gua ke WC sekarang jadi ga tenang anj
mitha0733,enak amat sih minta maaf
kyz_std2,ga butuh aku maafmu
pasaribumarsada,modus
alesha_rizqiana,"enak aja di maafin... aq bayar listrik tiap bulan banyak2 1 jt an,gk bole telat,telat langsung di matikan segel,daya 1300 cm hidup ac ma lampu,balik2 aj,d pangil org pln sru cek gk mau datang,e ini mala 24 jam lebih mati lampu,smpi nginap d hotel,karena baby gk bs tidur blas2 dr malam pe soreh,blm lagi usaha frozen food ku dalam freezer,klu rusak sapa yg ganti pak?
semenaara klu PLN nyalakn cuaca,cuacadi medan baik2 aj lo.. cuacanya hujan ada sekali2,panasnya jg luar biasa,jd gk masuk d akal klu cuaca yg d salahkan,pekerja pln itu banyak,gajinya jg gede,masak bs begitu lama benerinnya,mending klu bulan besok ad potongan harga tagihan listrik kmi,bs lh kmi maafin pak"
cenadchantik,plis deh gw jadi sumala kalo mati lampu😡😡😡😡😡
ptranzriiel,iyaa saya maafiin kok
aichacha04,20 jam + 5 jam lo pakk😭😭
biasa_aja539,udang ku pada mati mabuk semua tanpa oksigen.di karena kan mati lamu kerugian ratusan juta🤦
queensaqiela,"gk mau aku baru buka hotel tbtb lampu hidup, melayang uang ku😒"
papalim99,itu2 aja. 😆
santos.alvaro_271198,"maaf yang tau
tagihan tetap harus bayar"
pipinalkhafi_,[Stiker] 
hamba8800,panjang × lebar = kapan normal ....saat ini listrik di medan masih padam bergantian..Anda di gaji untuk itupak Direktur PLN yg terhormat
jhongntg07,Logikanya knpa matinya harus malam🗿
acikkantang,ma lo adoh maaf maaf se😂😂
_31denywiwit,"maaf, maaf. ganti rugi. giliran pelanggan telat baru 1 hari aja elu denda"
mak.e137,Alhamdulilah sudah hidub🙏
el11444,Banyak buat rugi😡😡
my_angeelll,"gamau
satu malaman aku digigit nyamuk anjjr 😭😭 udahlah medan panas beuttt"
ysbxz,"Abis minta maaf, nalah di matiin lagi _-"
nannkanaeru1,berapa yah kira kira yg lewat
yuu_nd4,gara gara pln api tiktok ku mati semua😭
skyholic99,aga mencurigakan🤨 siapa di balik padam listrik
ashoksoehaya,ga dimaafin klo ga dikasih diskon enam bulan 🥲
proudblack123,fix bulan ini pembayaran listrik gratis SE pulau Sumatra
thara_alter,copootttt simple kan..
swandisimanjorang,berapa ton lewat bro??
wildan.rasyid,"mundur ,jangan cuma minta maaf"
rigen807,giliran telat didenda
endar_arrohman,telat bayar listrik denda kli ada matinya listrik bisa di denda gak?
pawangkuntil,pamtessss😁
farissawputri_,ni pasti yg komen sekarang karna baru ada sinyal setelah hidup listrik? krn aku jg gitu 😭
audemori,"Listrik itu jantung prekonomian, Brapa Triliyun kerugian gara2 pemadaman listrik,
Sebagai lembaga yg kami taati untuk selalu dibayar tanpa telat, Tolong dipercepat pemulihan nya, kami tak peduli apapun alasan nya,,"
rusnitamarino,rakyat minta denda k PLN biar adil
muhammadboy980,"maaf doang apa gunanya, ganti rugi dong, kalau gak mundur saja."
ganang_176,Ini galang kok mati lampu lagi tdi udah hidup
terasjajanan02,"apa sudah normal pak? , di Aceh Barat Daya sudah hidup saat ini"
ayu.men3,lah kok disana terang yaaa.
jajanjalanmakan23,"minta maaf doank? kerugian rakyat siapa yg tanggung? usaha kami full day pakai listrik untuk live jualan, listrik mati, wifi gak jalan, provider gak ad sinyal."
tune_java,"Bukan sekedar minta maaf, tapi jadi pembelajaran, bahwa systemnya harus diperbaharui.
Namanya utilitas harus ada backup harus ada 'ring' atau jalur alternatif saat ada jalur terkendala
Dan sudah saatnya dipertimbangkan kemandirian energy disetiap daerah.
Ingat, jgn gunakan SCADA yang memakai license asing, sudah banyak engineer lokal yang mampu membuat program yang sama."
nabon1509,Medan 24 jam mati lampu anjir
garasi72hagohago,Kasilah pak ganti rugi buat kami yang merugi
bng_liee,[Stiker] tidak akan kami maaf kan pak
jajanjalanmakan23,ni minta maaf doank tanpa kompensasi? rakyat rugi emank PLN mau ganti rugi atau tanggung jawab?
alomani097,"jualan eskrim ku cair semua pak, ko ganti lah itu."
makyaih,singkat saja barang nya sudah sampe kah?
1tslidyaa_,maaf aja nih?? gratis listrik satu bulan dong pak baru dimaapin🤣🙏🏻
salehsaleh4301,"gk ad pikiran dirut pln,, gara2 org ne susa mw ngapaen sampai 25 jm bru idup di kmpung aku!!😔😔"
sritirsa1,Ngak mau di maafin pak saya di gigit nyamuk gara2 lampu mati 😏
mahendradra856,emng di sengaja
srcopio68,"di tempat ku hidup ny 1 pagi lewat.. sampai "" emak ku bangunin aku dan hebo lampu dah hidup.. pas brte ny tingl 12%😩😩.. GK bisa tidur dah 2 hari"
arie48380,MBG
nrmy.nmkz,[Stiker] Gw tdr koloran doang nih karna panas
titaloveyou28,"ahhh giliran gini minta maaf
giliran telat bayar sehari aja langsung emosi trus dpt surat pencabutan listrik😂"
reynatrimarselindri_29,jangan minta maaf aja pak minimal kasih token gratis 😁😁😂😭😭😭
di4nut4mi09,"ini udah kelewatan lamanya mati lampu,seharian mati, hidup sebentar, saya punya anak bayi, butuh cahaya lampu."
jasarewangipga_,CAIR DONGGG PESTA DIMANA RENCANA
kie1351,blom bayar ya pak 😭
imbibisi,"sambel ku di kulkas busuk pakkk, dri tgl 22 JM 6 sore sampai tgl 23 JM 00.30 haduhhh"
riopebrian601,"gara gara mati lampu alat live ku rusak semua,apapun alasan nya tetap ke lengahan para pihak PLN kerja bukan tidur"
dzakwan854,"minta maaf segampang itu, tp ketika sehari telat byr kami mau di cut off. 🤦"
nino.ooaamm,"batre hp ku soak ini, jangan matikan lagi listrik adohhhh"
renv48,tu kok capek peloon pak 😭😭 lh stres dek a
safri657,pln dari dulu banyak masalaj
dabuntal5,lh ini salah satu BUMN yang sering merugikan..
ch3_ch4,tiada ma'af bagimu
kilumii_jk97,Bct
ywnana3,ga mau maafin baru aja idup listrik malah di matiin lagi. idupin lagi gak 🫵🏻
gelatomatcha4,"Mundur aja pak kalo kerjanya lama, masa iya bertahun2 ga di buat cadangan jalur listrik, perusahaan ga punya saingan tapi rugi mulu"
martabakejumanis94_,"mati listrik kmren gua jd tukang kipasss kipasss, bocil dirumah kepanasan 😭"
pann_boom,maaf “ trs gak ad habis “ny
b805fr,"bebener dlu pln, ga berat gw beli bensin 10 liter"
darmawaticut499,secara ilmu. memang karna ini atau katna itu. sebenarnya mutlak karna allah yg berkehendak
fams._01,tgl 24 mei jam 2:17 listrik mati lagi? emang beberapa ton yg kemarin ada susulan lagi ? penjelasan minta maaf baca teks lagi ? terlalu memuakkan !!!
darmawaticut499,karna allah berkehendak mati lampu. maka mati lampu.
joyjoe52,gampang kali minta maaf
raplin_abdulllah,[Stiker] wkwkwkwkwkwkwkw.....
occen.id,"1,5 ribu ton per jam X 22 jam = 33 ribu ton minyak = dikantongin"
korizen_syifa_07,di sini tadi udh idup mati lagi listrik nya
.cuddsheaa,"dekkk, dah macam orang hilang arah kami gegara listrik ni"
deilaca_17,[Stiker] 
herryyulfi,ini ada permainan
dhv_031,"To the point aja , berapa ton yang sudah lewat?"
jefrisitorus19,di kantor pln mati gk lampu nya?😳
torrysadega,waw waw waw seperti ada yang aneh
razkatonang,[Stiker] mari kita party
cristal4372,"ko, BPK sebelah kanan kyknya sangat gelisah sekali😁"
heri.syahputra937,kami tiap bulan bayar listrik. listrik telat langsung putus ada kejadian gini cuma minta maaf. aturan cari solusi bikin pasok cadangan kan bisa di handle jadi nya.
sariamin_,Anak ku digigitin nyamuk sampe 16 bentolan
uulsikumbang,"🤔🤔🤔apa iya sesuai dengan keterangan... Jangan-jangan semua ini sudah direncanakan dengan segalamatang teori nya...
agar arus nya bisa nyebrang laut...
logika nya di sumbar pembangkit nya ada yg baru... 🤔🤔🤔"
niar378,"syalom bapak!!!
salam kacang tojjen😅😅"
bagusbgi,😂🤣😂🤣😂🤣..kok gak di denda PLN nya....
sallim4786,"cuma di tanjung pinang batam, udah setahun lebih saya disni baru satu kali mati lampunya walaupun setengah jam baru hidup lagi,"
kesepiandankehidupan,"[Stiker] gamau di maapin, gara gara listrik sinyal exis ilang, pket baru diisi gabsa di maenin"
alisofyan76,"kami juga mati pk 18 sampai 02,30wib"
user4299875959229,mulai nyata perkataan darma parengkun🙏🙏👍
_wahyurahmatullah,[Stiker] 
agungsyaputrahtp,bayar lampu lancar tapi mati lampu
arizal.fauji.lubi,ini kejahatan nasional tolong di usut tuntas
ucokkorba,"Maaf ajaa pak dari kemaren, gerak cepat laa"
cole.aja8,bosan
ratna.mira,"tidak bisa dimaafkan, soalnya kami telat 1 hari aja kena denda"
fjri_alfrzi,@ESCOBAR_88 ba koo
bang.yan0541,"Maaf, kami telat bayar didenda,"
ozon_gibel,%an nya ngeri ini😅
slebb52,cemas ko dek
kecebonganyuttt2,"Udah lah, berapa ton yang lolos? Itu aja nya"
puterayadi.haraha,ngk sekalian aja arus nya lari ke bank.. dan terjadi kelonjakan suku bunga .. trus nantinya pembayaran pada bengkak semua
ahyal_forwarder,melongak tiga hari listrik di potong PLN engak jelas
dhila.aydhin_,di tempatku 26jam loh mati listrik🥺🥺
ainul.fa,kita sekampung mandinya di tali air y pak... no no maaf😏
_.sweetygirls_,iya Pak udah saya maafkan😁tapi jaringan kenapa juga ikut hilang Pak😩
igotthninkk,benci kli ak panas’ tdur😡😡
firmansyahtasb,mati lampu pak wifi juga mati jaringan eror
amelliah648,alhamdullilah di palembang enggak 🤣🤣
luckyhadi00,"Provinsi Riau, Kab Rokan Hilir, Kec simpang kanan, mati lampu sampai 32 jam dan baru hidup ini!
ada tanggung jawab atas kerugian engga ini yah ?
kenapa kalau telat bayar listrik 1 hari langsung di cabut ini mati uda 32jam ga ada kompensasi???"
sty78,Ada yang tau nama asli Dirut PLN Darmawan Prasodjo ini ?
mandorpanyek,"jgn cm mnta maaf..
gmna kerugian kami"
nazamara_,di tempatku 24 jam mati sbahagian ada yg tengah malam sudah hidup. pelaku usaha dilokasiku banyak yang tidak bisa beroperasi.bahkan harus tutup berapa kerugiian masyarakat. sementara kalau pelanggan yang telat bayar sudah di denda .kalau nunggak sudah di datangi tim lapangan yang tidak mau tau keadaan pelanggan kenapa sampai tidak bisa bayar tagihan dengan alasan perintah atasan dan mereka hanya menjankan tugas . alasan yang bapak sampaikan masyarakat terdampak di paksa menerima. sementara alasan pelanggan kenapa sampe bisa nunggak pihak PLN tidak mau tau
rayyanhabibi43,tidak bisa dimaafkan sangat merugikan bangat
chyyy47,sampaii kapann blackout nyaa capeee + panas sumatra ni 😭😫😫
puterayadi.haraha,apa ia mesti ada arahan kementrian..
suci04950,"gk mau garah"" PLN mati aku gk bisa mabat ama emak aku😭"
husaini7341,kalau telap bayar listrik bisa minta maaf
always.zamm,"minta maaf doang mah ga cukup,minimal ganti rugi lah ke orang yg terdampak"
bangvenom042,[Stiker] 
robby_19005,Maaf sebelum ny ya pak lambat bayar listrik d tagih dan gk bayar amper d cabut🙏🙏
v_collection72,Ganti Rugi
artemisflight,"Kalau mau ngomong sertai bukti rusaknya juga jangan cuma ngomong terus minta maaf, rakyat bayar listrik, kalau cuma ngomong dan minta maaf semua orang juga bisa, rakyat dibohongin terus dengan alasan rusak tapi ga ada bukti."
al_athallah,ujung2nya naik lagi. i😂😂😂
umat__rasulullah,@gerindra tolong di ganti ajaa ni orang
an1890nk,kocak kau ituuu
bakul.pitek514,kompensasi nya pak
xfzriziii,uda man kan pak? berapa ton?
aaahh282hh,@gerindra PECATTTTTTTT
fforlunaacx4,"iya Pak gapapa, udah biasa"
andi.rey035,ganti rugi
ilvyyuu00,"masyarakat telat bayar listrik /token pasti bunyi"" disuruh bayar agar gak di matikan oleh pln wajib jadinya🤣 terus ini listrik seluruh rakyat sumatra mati karena pln sampek berjam"" uda kayak kerja kilang 12 jam mati nya keringanan nya apa pak??? minimal gratis la listrik selama seminggu pun gpp buat itung"" kerugian masyarakat selama 2 hari ini 🥹🥹"
dyossx,OLAH
siagianparsibolga,"untung kami tinggal di batam😁😅,jadi kami aman-aman aja dari kejadian itu😅😅"
kamalalaidarus,"mereka paling minta ma'af selesai....padahal bisa mengakibatkan barang2 elektronik rumah tangga yg kena imbasnya dan pln gk bertanggung jawab.
kalau telat bayar kami bisa minta ma'af seperti bapak gk ya"
fahmizul_16,ga perlu kata kata maaf doang kami mah
dewi.laxmi.jannow,mundur dari jabatan lebih baik sih ketimbang minta maaf
rafaniazahra68,kmu tak percaya.....
bal02r,🥰🥰🥰
cicakrowo85,"enggak mau maafin, aku hampir aja jadi orang purba gara gara mati lampu"
umarr471,Banyak alasan Banyak taktik kalian bujang
rahmarahma855,kenapa harus sumatra selalu?
komunitasrumahbako,kalau masyrakat telat bayar listrik krn uang ngk ada boleh bilang maaf tanpa denda dan pemutusan boleh
celinepho_,Mau tanya Pak. Mati Listrik sampai kpn? Mksd Sy mati Listrik sampai brp Hari?
delawwwcuu,Matii smpee 28 jam rasaku baru hdp tmpt kami😭😭
user3060403,"gamau ahh,kami masi ngambek😌"
rzzkyy1808,"cukup tau pak, enk cuma mati lampu aj, in mlh sinyal ilng total pulak"
xjxjxjxdjsu,[Stiker] gw gak maafin titikk... gw tidur gak tenang panas tol
kengharit0104,iya iyain aja😂
januari01017,sekarang PT PLN rugi ngk srius nanya
aliakun25,"Kalau pejabat di Indonesia,sudah dianggap biasa melakukan kesalahan,jangan kan mundur dari jabatan nya,minta maaf aja merasa enggan😂😂😂"
faisal.bahri.gult,"Masalahnya kenapa pas di malam hari mati lampu nya bosss,, knpa tidak siang hari????????????"
tulip.story,"halah, terserahlah, pak. pusing kepalaku. aku mau nikah ini. jangan sampai lama, ya"
oth0608,"gangguannya kok ngak selesai2 jadi mati lampu setiap hari, matinya setiap malam , macam mana orang bisa istirahat? Mohon pengertian PLN"
arshakakhanaka,ganti Dirut nya
imrtlvd_,"masa minta maaf aja, dah gini aja kompak satu Sumatra gak usah bayar listrik"
beatkabur_110,santai mass Emyu ku sudah menerangi sumatra utara
plimbong939,alah crita itu
gabriel_aan,teho
typutrii16,capek aku jdi tkg sate 2mlm pak... karna anakku masih 7bulan modelannya keringatan terus pantang kipas berhenti dy kebangun
bosparfum.03_54,"skenario mu berjalan dengan lancar pak,singkat padat kirim sekian ton dan ending nya cuma minta maaf🤣🤣"
banggiyanritongaa,tiada maaf bagi mu
axsyy_,jangan jangan ni? apakah ada yg sepemikiran?
diviyahutasuhut,"gratis dlu pembayaran untuk 3 buln ini,baru mau di maapin😞"
nandainiyaa,"g dimaafin, 2 hari 2 malam aku harus ngipasin anak ku buat tdr sepanjang hari blm tdr pagi tdr siang, malam🙄"
khulifahamdi,berapa lewat?
rabil.saputra078,tolong bg air mandi gk ada besok bg
ciciiii852,"Gamau maapin , di gw baru hidup Sabtu jam 11 malam woyyy dari azan magrib hari Jum'at kemarin😭🗿"
doidoidoiahay,"plis jangan matiin lagi, MAU MANDI GADA AIR"
ciput.ih,2 hari aku tidur basah kuyup ya pak 😭
sitinurhalijah05_,Gak ku maafkan
sawalharahap567,"bkan ini saja
di tmpat saya bisa tiga kali sehari kayak minum obat
padahal cuaca bagus bagus saja
gerimis aja bisa mati lampu"
yeni_dalimunthe,gak bisa di maafin aku baru masak nasi Uda mati lampu
adiygading1,[Stiker] 
bgjawa28,miris nya negeri ku ..
riskyramdani344,dak jelas.. kalo telat bayar langsung di tarik KWH kita.. giliran kek gini minta maaf
ea.olshop92,"bayar listrik aja harus on time
tapi waktu mati g gercep gmn PLN ini
wah makin g percaya aja ni ke pemerintah Konoha ini masyarakat 😏"
amanda.krismayana,aku GK mau maafin sumpah gara2 mati lampu cuaca panas jadi aku dan temen2 ku tidur di pos ronda 😭
andrepra07,"dikit dikit klarifikasi mintak maaf enak yaa, Udah to the point aja pak berapa ton yg udah lolos"
leoooboyss23_,langsung ke intinyaa aja ga sii
salam_jee,mau makn pun ga bisa karna ga ada nasi😅
novitaasariiii_,"udah GK kagett, kami ditakengon pernah 2 bulan tanpa listrikk karna bencana"
amah_vlo6,SUDAHI INI SEMUA
novalisa766,modus apalagi ini
adi1219165,dapet komisi brpa nyet
larisspill.id,Aku LDM ama laki ku pak haiyaaa tak bsa VC n chat😭
muzakii1_,arah Singapura
muzakii1_,info lolos 500 ton
lupa.nama0293,kota Tebingtinggi Sumatera Utara masih mengalami pemadaman listrik
arifkrnwn22,"gila bener, solok selatan terkhusu wilayah muarolabuh mati total dr jam 6 pagi hingga pukul 10malam, sampai ginset saya ngejim"
ris74363,eskrim ku jadi cair
pecung2205,Mau mandi pun susah wala weee
user9416962068024,😂😂😂😂
.azhari24,permainan yg sudah terbaca🤣🤣🤣
vanillagabrielaa,g mauu gua sampe mandi sungaiii bjir
paps7070,Benar kale maasbro
syampoerna123,"kompensasi pak, banyak UMKM yg merugi"
amrishoop.id,[Stiker] 
muhammadrizky9957,@PLN gak ada ganti rugi ini 27 jam lo masa cuma minta maaf
aldo.cekut,"sawit turun, listrik padam, rupiah melemah kalian ini sedang merencakan apa"
iwan.ragiel,"Sumsel jg mti pk, g di sebutin huuuuu"
m.sinaga758,kalau pemadaman listrik suka 2 kamu saja. tetapi kalau telat pembayaran listrik satu hari saja langsung akan diputus.
user8510163771765,mundur dari jabatannya bro
ririn.dwi.arini,"Tiada maaf bagimu
30 jam daerah sy🙂‍↔️"
dewi.wulan867,"Yg Pertama mau berak pon payah gak ada air,, terpaksa wc terbang,, Yg Kedua kulkas es mencair banjir kamar saya,, Yg Ketiga badan uda gatal² mau mandi air juga gak ada,, lari k SPBU ngantri pula,, pening lah 23 jam mati"
__i.snmbla,ga di maapin dimsumku hampir busuk
erwin.pransisco,gak ada yg tau knpa 1 MLM mati lampu dan hilang sinyal di daerah Sumatra..coba pikir baik2
fransiskus16.0,pak kelamaan bicara waktu ya abis
ompol_dewa,maaf doang ...gratis token 1bln Lah...giliran kita ga bayar aja maaf ga berLaku...
user5854562446309,"kota palembang kel karyajaya kec kertapati seminggu 3 kli matek lampu,rutin.konsumen sgt dirugikan."
nenggolan470,mungkin sudah Berton ton....😂
shahrulbg00,ada yang masi onn kh ni
user8635666684752,bagaimana dengan kandang ayam pupolasi besar
jrl95564,tempat saya blm jg hidup sampai skrng pak😌
