"Comment ID","Reply to Which Comment","User ID","Username","Nick Name","Comment","Comment Time","Digg Count","Author Digged","Reply Count","Pinned to Top","User Homepage"
"=""7223203004659499802""","=""7223082042446791429""","=""6973925139666895873""","jagat__putra","JAGAT","ngomong doang bagi kagak cuakss☝️😏","18/4/2023, 14.21.20","4","No","","","https://www.tiktok.com/@jagat__putra"
"=""7223287486863983387""","=""7223082042446791429""","=""7160190558408344577""","muhammad_hafiz28","OPERATOR RUNGKAD","dosa bnhh🗿","18/4/2023, 14.25.12","1","No","","","https://www.tiktok.com/@muhammad_hafiz28"
"=""7223665778117296922""","=""7223082042446791429""","=""6902724961217414146""","mynameis0ne","suka rujak","minta bang gue","19/4/2023, 14.53.11","2","No","","","https://www.tiktok.com/@mynameis0ne"
"=""7224401379908240155""","=""7223082042446791429""","=""6791473468627469314""","baimzyz7","malik","chat sini bng","21/4/2023, 14.27.26","2","No","","","https://www.tiktok.com/@baimzyz7"
"=""7466378961120445201""","=""7223082042446791429""","=""6990722747647329307""","laura12121211","laura12121211","https://whatsapp.com/channel/0029VazbsB3CRs1mGzI0Fm3Y
cek nih ad yg terbarunya","1/2/2025, 16.23.56","4","No","","","https://www.tiktok.com/@laura12121211"
"=""7226050179537912603""","=""7223082042446791429""","=""6746696801505920001""","ahyat69","Mas_🅰️","gak ada🗿","26/4/2023, 01.05.29","2","No","","","https://www.tiktok.com/@ahyat69"
"=""7224383440711205659""","=""7223082042446791429""","=""6981360694374368258""","m.jefri_abdullah","𝙅𝙚𝙛𝙧𝙞","ngobrol sama ortu nyandpt dari Maan plis paket lengkap","21/4/2023, 13.18.00","1","No","","","https://www.tiktok.com/@m.jefri_abdullah"
"=""7224384547465495302""","=""7223082042446791429""","=""7063247969671939099""","misteryviral","『͜H 2R』|| TEMPLATE 🌀","japri ane dm ig di propill buruan sebelum terlambat","21/4/2023, 13.22.01","2","No","","","https://www.tiktok.com/@misteryviral"
"=""7513139180614206225""","=""7223082042446791429""","=""6843950439138919425""","noentryyzx","galang","https://mediafireterbaru65virl.zeroneoffc.me","7/6/2025, 16.37.23","1","No","","","https://www.tiktok.com/@noentryyzx"
"=""7508518040204624647""","=""7223082042446791429""","=""7415875076573398022""","lcxkokap","Rusdi LC","https://u2ro8bdzx.vresmi1.web.id/x/9cf95tm8","26/5/2025, 05.57.07","1","No","","","https://www.tiktok.com/@lcxkokap"
"=""7479470729487778568""","=""7223082042446791429""","=""7408568183819584517""","gj.bangetlo","gjbangetlo0","https://ht-s1.web.id/?id=5a333f6d
https://ht-s1.web.id/?id=5a333f6d
https://ht-s1.web.id/?id=5a333f6d","8/3/2025, 23.06.39","1","No","","","https://www.tiktok.com/@gj.bangetlo"
"=""7479181875274924816""","=""7223082042446791429""","=""7302423095384507394""","ikyyy01234","kii","MASUK YOO 500+ MEMBER SALING BERBAGI GAMASUK RUGI😋
https://chat.whatsapp.com/JXSZfPTSeIlBUm3WD7gSOK","8/3/2025, 04.26.06","1","No","","","https://www.tiktok.com/@ikyyy01234"
"=""7341413503393547013""","=""7223082042446791429""","=""7291215987952419846""","farhanparakoso3","farhan parakoso","lait pp ku cuy","1/3/2024, 22.41.32","1","No","","","https://www.tiktok.com/@farhanparakoso3"
"=""7232351556698850075""","=""7223082042446791429""","=""7044128249920635906""","noddsz","Nadiaablessedd💢","p🤣","13/5/2023, 00.38.12","1","No","","","https://www.tiktok.com/@noddsz"
"=""7230692401160667931""","=""7223082042446791429""","=""7049605019373077506""","ryangazali763","Ryan Gazali763","gw ada ni","8/5/2023, 13.19.58","1","No","","","https://www.tiktok.com/@ryangazali763"
"=""7230761537697399579""","=""7223082042446791429""","=""6893393193377104898""","lesmanawahyu713","wahyu1","ahhh tlat bro ngasih tau nya,gw butuh nya dulu, sekarang mah udah tobat😂😅","8/5/2023, 17.47.59","1","No","","","https://www.tiktok.com/@lesmanawahyu713"
"=""7226355375129527066""","=""7223082042446791429""","=""7051984814257374210""","ptraaa4a_","Megg","dari yt","26/4/2023, 20.50.00","1","No","","","https://www.tiktok.com/@ptraaa4a_"
"=""7549983754403365650""","=""7223082042446791429""","=""7531609142457631761""","saputrasaputra756","saputrasaputra756","DM","14/9/2025, 23.35.56","0","No","","","https://www.tiktok.com/@saputrasaputra756"
"=""7479373980890235655""","=""7223082042446791429""","=""7408568183819584517""","gj.bangetlo","gjbangetlo0","https://ht-s1.web.id/?id=5a333f6d
https://ht-s1.web.id/?id=5a333f6d
https://ht-s1.web.id/?id=5a333f6d
https://ht-s1.web.id/?id=5a333f6d","8/3/2025, 16.51.11","0","No","","","https://www.tiktok.com/@gj.bangetlo"
"=""7549985391102214930""","=""7223082042446791429""","=""7531609142457631761""","saputrasaputra756","saputrasaputra756","dm....","14/9/2025, 23.41.53","1","No","","","https://www.tiktok.com/@saputrasaputra756"
"=""7482337158801228552""","=""7223082042446791429""","=""7408568183819584517""","gj.bangetlo","gjbangetlo0","https://goto.now/oD9QT
https://goto.now/oD9QT
https://goto.now/oD9QT
https://goto.now/oD9QT","16/3/2025, 16.29.50","1","No","","","https://www.tiktok.com/@gj.bangetlo"
"=""7460767423408407302""","=""7223082042446791429""","=""7460707479782605831""","link.viral.terbar6","link viral terbaru","https://whatsapp.com/channel/0029VayC2MU8V0ts8xZgjE0y","17/1/2025, 13.29.15","1","No","","","https://www.tiktok.com/@link.viral.terbar6"
"=""7440282009769296695""","=""7223082042446791429""","=""7321710923013915653""","hong.guan7","Hong Guan","jngn lupa mampir
https://whatsapp.com/channel/0029VaxkFbvAzNc1aj9L2t2Q","23/11/2024, 08.34.30","1","No","","","https://www.tiktok.com/@hong.guan7"
"=""7422007961335415558""","=""7223082042446791429""","=""7421176016372139013""","aninditaalva8","aninditaalva","mbak Alfamart dengan pelanggan full https://bit.ly/3ZGtFDV","5/10/2024, 03.14.42","1","No","","","https://www.tiktok.com/@aninditaalva8"
"=""7419489871277327110""","=""7223082042446791429""","=""7110787654102828058""","angelinaa12r","riska","https://t.me/Tomarket_ai_bot/app?startapp=0000roVJ","28/9/2024, 07.50.18","1","No","","","https://www.tiktok.com/@angelinaa12r"
"=""7412945886248731398""","=""7223082042446791429""","=""7137440895380571162""","foox4you1","fooxbewyurs","https://whatsapp.com/channel/0029VajVRBc9WtCCWgce9107
MASUK LINK TERBARU","10/9/2024, 16.36.14","1","No","","","https://www.tiktok.com/@foox4you1"
"=""7402857088323486470""","=""7223082042446791429""","=""6875302229088666626""","rikialinggaputra","Riki Alingga Putra","anjir sekian banyak baca comen gk ada yang share link asso","14/8/2024, 12.06.30","1","No","","","https://www.tiktok.com/@rikialinggaputra"
"=""7381799790375715590""","=""7223082042446791429""","=""6736757499909063681""","kill.moz","Zane","https://t.me/Prickgame_bot?start=ref-8F1d7p8XwWiaBSS4YWofMW","18/6/2024, 18.57.33","1","No","","","https://www.tiktok.com/@kill.moz"
"=""7245497912065835782""","=""7223082042446791429""","=""6952304688428483585""","sepuraneeeeeee","ya...","oke","17/6/2023, 10.52.34","1","No","","","https://www.tiktok.com/@sepuraneeeeeee"
"=""7235321998732247813""","=""7223082042446791429""","=""7190888653438649370""","garenaff2796","y","mana","21/5/2023, 00.44.44","1","No","","","https://www.tiktok.com/@garenaff2796"
"=""7228550814011638554""","=""7223082042446791429""","=""7167383109486134299""","misterlana1","PICANG GOYENG","bgi","2/5/2023, 18.49.15","1","No","","","https://www.tiktok.com/@misterlana1"
"=""7227033529887834907""","=""7223082042446791429""","=""6972397967723971585""","leon.s17","🄻🄴🄾🄽","bagi bang","28/4/2023, 22.46.34","1","No","","","https://www.tiktok.com/@leon.s17"
"=""7226678958606713627""","=""7223082042446791429""","=""6965460793363301378""","duniamikroskopis","unknown","bagi","27/4/2023, 23.25.39","1","No","","","https://www.tiktok.com/@duniamikroskopis"
"=""7226630193023484698""","=""7223082042446791429""","=""7199105890598585345""","erlang185","Li Chen Ho  (李辰)","njir gw jg nnton itu kiraiin apaan","27/4/2023, 14.36.22","1","No","","","https://www.tiktok.com/@erlang185"
"=""7226582427207762714""","=""7223082042446791429""","=""7151393845480276993""",".owenrinaldo","OWEN RINALDO","ni ada vidio nya sma ku yg asli..ada 15 vidio +poto nya 9 blm lengkap smua😂","27/4/2023, 11.31.12","1","No","","","https://www.tiktok.com/@.owenrinaldo"
"=""7226488421320033051""","=""7223082042446791429""","=""6992964762138231813""","saldiramadhan667","user9125529407505","minta dong broo😂","27/4/2023, 05.26.22","1","No","","","https://www.tiktok.com/@saldiramadhan667"
"=""7226371942453871387""","=""7223082042446791429""","=""6872356404179715073""","vikiiiiiiiiii13","🍼","bagi bang follow gw","26/4/2023, 21.54.12","1","No","","","https://www.tiktok.com/@vikiiiiiiiiii13"
"=""7226193178108412698""","=""7223082042446791429""","=""6958445330895766534""","ardian23_","Aris✨","bagi dong bg..","26/4/2023, 15.28.39","1","No","","","https://www.tiktok.com/@ardian23_"
"=""7226248424894415643""","=""7223082042446791429""","=""6786904560591881217""","andri_salman.19","Jwka rth","hahaha...
barang doang bagus vidionya GK greget","26/4/2023, 13.55.03","1","No","","","https://www.tiktok.com/@andri_salman.19"
"=""7226056846950712091""","=""7223082042446791429""","=""6824783450316768258""","imndy123","Aku leo♌","bgi","26/4/2023, 11.14.37","1","No","","","https://www.tiktok.com/@imndy123"
"=""7224544347676525338""","=""7223082042446791429""","=""6889360876488098817""","redfelix_","REDFELIX","inpo😂","21/4/2023, 23.42.16","1","No","","","https://www.tiktok.com/@redfelix_"
"=""7224520376586568475""","=""7223082042446791429""","=""6859570837432108034""","losingaja","𝕷𝖊𝖔𝖓𝖆𝖑𝖑","bagi bang","21/4/2023, 22.09.08","1","No","","","https://www.tiktok.com/@losingaja"
"=""7223742571028415259""","=""7223082042446791429""","=""6908743595998905345""","ejjdididifiirirj","jdkdkd","bagi bg yg 47 menit","19/4/2023, 19.50.49","1","No","","","https://www.tiktok.com/@ejjdididifiirirj"
"=""7581143544951489281""","=""7223082042446791429""","=""7431427106041152532""","rezadaily123","Sinu Fandorez","😂😂","7/12/2025, 22.51.12","1","No","","","https://www.tiktok.com/@rezadaily123"
"=""7317471133119316742""","=""7223082042446791429""","=""6980672029386327042""","gfnyadika","girlfriendandikaa💋","😭😭","28/12/2023, 09.45.26","1","No","","","https://www.tiktok.com/@gfnyadika"
"=""7226626708026163994""","=""7223082042446791429""","=""7081105483683808283""","asepirfan981","Alpukat🍐","😂","27/4/2023, 14.22.48","1","No","","","https://www.tiktok.com/@asepirfan981"
"=""7226548424333624091""","=""7223082042446791429""","=""7058902223593800710""","remaja_2008","Zakx Turu++","🗿🗿","27/4/2023, 09.19.21","1","No","","","https://www.tiktok.com/@remaja_2008"
"=""7223126071678501658""","","=""6939537339099366405""","hanzboy123","Hanzz","katanya lebaran mau glowing king👑","18/4/2023, 03.58.45","7892","No","59","No","https://www.tiktok.com/@hanzboy123"
"=""7223003965695476507""","=""7223126071678501658""","=""7065855966910809090""","pegi420","PEGi","makasih dah ingetin😁","18/4/2023, 04.07.36","321","No","","","https://www.tiktok.com/@pegi420"
"=""7222993385404744474""","=""7223126071678501658""","=""6929914804652180482""","swaggerfootballofficial","Swagger Football Ofc","otw","18/4/2023, 04.11.39","52","No","","","https://www.tiktok.com/@swaggerfootballofficial"
"=""7223141829759484698""","=""7223126071678501658""","=""7056321575717700610""","vvap_zz","GnnCo","pake minyak king biar tambah glowing","18/4/2023, 05.00.28","16","No","","","https://www.tiktok.com/@vvap_zz"
"=""7223331562523558682""","=""7223126071678501658""","=""6951387881974825985""","alice91530","loh","apa hubungannya 😂😂","18/4/2023, 17.16.16","12","No","","","https://www.tiktok.com/@alice91530"
"=""7223693465497109274""","=""7223126071678501658""","=""7161789728051594241""","user150971452761","ikal","g ngaruh apa"" cok","19/4/2023, 16.40.22","1","No","","","https://www.tiktok.com/@user150971452761"
"=""7223332040976417563""","=""7223126071678501658""","=""6939537339099366405""","hanzboy123","Hanzz","semangat king kmu masih polos","18/4/2023, 17.18.08","2","No","","","https://www.tiktok.com/@hanzboy123"
"=""7223935188270875419""","=""7223126071678501658""","=""6740097246606377985""","ntzspm_","Zero Two〃ﾟ3ﾟ〃","ada lah ntar muka nya kena ain gmn trs kalo hbs liat begituan ditarik seri wajahnya trs ga cerah LG deh klo orng liat kyk kusem","20/4/2023, 08.19.08","4","No","","","https://www.tiktok.com/@ntzspm_"
"=""7224179069645767451""","=""7223126071678501658""","=""6565689989349621761""","kankhavilla","KanKha","bisa di ketik ulang lagi soalnya ad yg gw ga ngerti🗿","21/4/2023, 00.04.46","1","No","","","https://www.tiktok.com/@kankhavilla"
"=""7223234917626463003""","=""7223126071678501658""","=""6697014590788322306""","kurniawan12._","south","makasih mas dah ingetin, biar ntar pas hari lebaran muka cerah no jerawat","18/4/2023, 11.01.23","4","No","","","https://www.tiktok.com/@kurniawan12._"
"=""7223666221005882138""","=""7223126071678501658""","=""6867785934454342657""","egyprmwrn14","120rasaRGR","udah 1 bulan berhenti kingg","19/4/2023, 14.54.50","2","No","","","https://www.tiktok.com/@egyprmwrn14"
"=""7223126540124570394""","=""7223126071678501658""","=""7020043990927393794""","youknow_randi7","hấnako  ciủ","gw gagal hari ini,dan hari ini in sha Allah gw pertahanin","18/4/2023, 04.00.55","7","No","","","https://www.tiktok.com/@youknow_randi7"
"=""7223128492060689179""","=""7223126071678501658""","=""6939537339099366405""","hanzboy123","Hanzz","semangat kalian semua kalian pasti bisa ko berhnti kalo niat🔥👑","18/4/2023, 04.08.14","1","No","","","https://www.tiktok.com/@hanzboy123"
"=""7223161121775092506""","=""7223126071678501658""","=""6959562245315970053""","anovlodi_","ᯓ★🇵🇸","dh 5 bulan++","18/4/2023, 06.15.10","2","No","","","https://www.tiktok.com/@anovlodi_"
"=""7223181555791037211""","=""7223126071678501658""","=""6900763871200887810""","lanajaswyh","Alan","🤙","18/4/2023, 07.34.21","0","No","","","https://www.tiktok.com/@lanajaswyh"
"=""7606740124936766226""","=""7223126071678501658""","=""7065855966910809090""","pegi420","PEGi","bangg","14/2/2026, 22.16.49","1","No","","","https://www.tiktok.com/@pegi420"
"=""7606740287616008976""","=""7223126071678501658""","=""6939537339099366405""","hanzboy123","Hanzz","uy","14/2/2026, 22.17.22","1","No","","","https://www.tiktok.com/@hanzboy123"
"=""7607069039642936071""","=""7223126071678501658""","=""7065855966910809090""","pegi420","PEGi","masihh on bang, ini udah 2006 bang😅","15/2/2026, 19.33.09","1","No","","","https://www.tiktok.com/@pegi420"
"=""7224316563238028059""","=""7223126071678501658""","=""6902233258290283522""","ugi0607","Bukan Casis","thanks you king sudah mengingatkan","21/4/2023, 08.58.42","1","No","","","https://www.tiktok.com/@ugi0607"
"=""7223655780749296410""","=""7223126071678501658""","=""6860911654067061761""","fajriyx14","Jrii😹","yes sensei","19/4/2023, 19.58.03","1","No","","","https://www.tiktok.com/@fajriyx14"
"=""7223329393480712987""","=""7223126071678501658""","=""7140959493592237057""","strongboys_42","d 🚀","kok glowing bang? 🤔","18/4/2023, 17.07.49","1","No","","","https://www.tiktok.com/@strongboys_42"
"=""7223240609824391962""","=""7223126071678501658""","=""7028573310805115930""","esa_alquri","alquri","aman bang,dah 4 bulan","18/4/2023, 11.23.09","1","No","","","https://www.tiktok.com/@esa_alquri"
"=""7223228597006500635""","=""7223126071678501658""","=""6997297127240221698""","zennx26","Jenio","untung diingetin","18/4/2023, 10.36.30","1","No","","","https://www.tiktok.com/@zennx26"
"=""7223218535354155781""","=""7223126071678501658""","=""6941982331113964545""","hadehhh.1","2006","mksih king udah ngingetin","18/4/2023, 09.57.27","1","No","","","https://www.tiktok.com/@hadehhh.1"
"=""7223127924457636635""","=""7223126071678501658""","=""6927273903065531398""","kenalnandy","Nandyy","semangat king😁","18/4/2023, 04.05.50","1","No","","","https://www.tiktok.com/@kenalnandy"
"=""7223127199511331611""","=""7223126071678501658""","=""6878173646113784833""","iky_project06","Dark Lord","Yo mesti","18/4/2023, 04.03.32","1","No","","","https://www.tiktok.com/@iky_project06"
"=""7610834287621325576""","=""7223126071678501658""","=""7450353656790402068""","pirman.aidi3","Jupe STECU✌🏼","makasih brow","25/2/2026, 23.04.12","0","No","","","https://www.tiktok.com/@pirman.aidi3"
"=""7512070851441918727""","=""7223126071678501658""","=""7110787654102828058""","angelinaa12r","riska","nih buat yg penasaran vidionya 🤣🤣
https://www.profitableratecpm.com/ws7s83xta?key=2ad6fe30b922528e7317ab4fc4698f28","4/6/2025, 19.31.36","0","No","","","https://www.tiktok.com/@angelinaa12r"
"=""7508518152771584775""","=""7223126071678501658""","=""7415875076573398022""","lcxkokap","Rusdi LC","https://u2ro8bdzx.vresmi1.web.id/x/9cf95tm8","26/5/2025, 05.57.16","0","No","","","https://www.tiktok.com/@lcxkokap"
"=""7480365673215148807""","=""7223126071678501658""","=""7121304087563387931""","allgajelasbanget","alllғᴜʟɢʜᴀʟ","makasi brok","11/3/2025, 08.59.32","0","No","","","https://www.tiktok.com/@allgajelasbanget"
"=""7479181719121167111""","=""7223126071678501658""","=""7302423095384507394""","ikyyy01234","kii","MASUK YOO 500+ MEMBER SALING BERBAGI GAMASUK RUGI😋
https://chat.whatsapp.com/JXSZfPTSeIlBUm3WD7gSOK","8/3/2025, 04.25.27","0","No","","","https://www.tiktok.com/@ikyyy01234"
"=""7431445481753084678""","=""7223126071678501658""","=""7423621547510072326""","rxacshsgs","rxacshsgs","https://shorturl.at/2nap2","30/10/2024, 13.47.52","0","No","","","https://www.tiktok.com/@rxacshsgs"
"=""7372189246512038662""","=""7223126071678501658""","=""6819475746815460354""","bob_psta","enriquerobi","100💯","23/5/2024, 20.39.40","0","No","","","https://www.tiktok.com/@bob_psta"
"=""7230795933260514074""","=""7223126071678501658""","=""7158905292892668955""","panitia_jahanam","1002 bait","gua panitianya aja susah king","8/5/2023, 20.01.33","0","No","","","https://www.tiktok.com/@panitia_jahanam"
"=""7224545432863687450""","=""7223126071678501658""","=""6879772659447890946""","jajhdkdja","??","kelasss","21/4/2023, 23.46.19","0","No","","","https://www.tiktok.com/@jajhdkdja"
